Name,Symmetry (generic),Symmetry (specific),HOMO ren (output),LUMO ren (output),Gap ren (output),Nat,Gap_B3LYP,Gap_PBE,avgoccupied(eV-1),avgempty(eV-1),deg HOMO,deg LUMO,ElecEigvalMean,ElecEigvalVariance,ElecEigvalSkewness,ElecEigvalKurtosis,HOMO-(HOMO-1),HOMO-(HOMO-2),HOMO-(HOMO-3),HOMO-(HOMO-4),HOMO-(HOMO-5),HOMO-(HOMO-6),(LUMO+1)-LUMO,(LUMO+2)-LUMO,(LUMO+3)-LUMO,(LUMO+4)-LUMO,(LUMO+5)-LUMO,(LUMO+6)-LUMO,inv(HOMO-(HOMO-1)),inv(HOMO-(HOMO-2)),inv(HOMO-(HOMO-3)),inv(HOMO-(HOMO-4)),inv(HOMO-(HOMO-5)),inv(HOMO-(HOMO-6)),inv((LUMO+1)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+4)-LUMO),inv((LUMO+5)-LUMO),inv((LUMO+6)-LUMO),inv(LUMO-(HOMO-1)),inv(LUMO-(HOMO-2)),inv((LUMO+1)-HOMO),inv((LUMO+2)-HOMO),num hexagons,Volume,Area,Area/volume ratio,1stPhFreq,LastPhFreq,PhFreqMean,PhFreqVariance,PhFreqSkewness,PhFreqKurtosis,bond_length_angstrom_average,bond_length_angstrom_standard_deviation,bond_length_skewness,bond_length_excess_Kurtosis,bond_length_1st_lowest_value,bond_length_2nd_lowest_value,bond_length_3rd_lowest_value,bond_length_4th_lowest_value,bond_length_4th_highest_value,bond_length_3rd_highest_value,bond_length_2nd_highest_value,bond_length_1st_highest_value,Mayer_bond_order_average,Mayer_bond_order_standard_deviation,Mayer_bond_order_skewness,Mayer_bond_order_excess_Kurtosis,Mayer_bond_order_1st_lowest_value,Mayer_bond_order_2nd_lowest_value,Mayer_bond_order_3rd_lowest_value,Mayer_bond_order_4th_lowest_value,Mayer_bond_order_4th_highest_value,Mayer_bond_order_3rd_highest_value,Mayer_bond_order_2nd_highest_value,Mayer_bond_order_1st_highest_value,average_GJ_bond_order,standard_deviation_GJ_bond_order,skewness_GJ_bond_order,excess_Kurtosis_GJ_bond_order,GJ_Nbond_with_order_till_1p1_eq_nonhybridized,GJ_Nbond_with_order_till_1p2,GJ_Nbond_with_order_till_1p3,GJ_Nbond_with_order_till_1p4,GJ_Nbond_with_order_till_1p5,GJ_Nbond_with_order_over_1p5,GJ_Nbond_hybridized,GJ_ratio_bonds_with_order_till_1p1_eq_nonhybridized,GJ_ratio_bonds_with_order_till_1p2,GJ_ratio_bonds_with_order_till_1p3,GJ_ratio_bonds_with_order_till_1p4,GJ_ratio_bonds_with_order_till_1p5,GJ_ratio_bonds_with_order_over_1p5,GJ_ratio_bonds_hybridized,1st_lowest_value_GJ_bond_order,2nd_lowest_value_GJ_bond_order,3rd_lowest_value_GJ_bond_order,4th_lowest_value_GJ_bond_order,4th_highest_value_GJ_bond_order,3rd_highest_value_GJ_bond_order,2nd_highest_value_GJ_bond_order,1st_highest_value_GJ_bond_order,bond_length_1st_highest_value,average_NM1_bond_order,standard_deviation_NM1_bond_order,skewness_NM1_bond_order,excess_Kurtosis_NM1_bond_order,NM1_Nbond_with_order_till_1p1_eq_nonhybridized,NM1_Nbond_with_order_till_1p2,NM1_Nbond_with_order_till_1p3,NM1_Nbond_with_order_till_1p4,NM1_Nbond_with_order_till_1p5,NM1_Nbond_with_order_over_1p5,NM1_Nbond_hybridized,NM1_ratio_bonds_with_order_till_1p1_eq_nonhybridized,NM1_ratio_bonds_with_order_till_1p2,NM1_ratio_bonds_with_order_till_1p3,NM1_ratio_bonds_with_order_till_1p4,NM1_ratio_bonds_with_order_till_1p5,NM1_ratio_bonds_with_order_over_1p5,NM1_ratio_bonds_hybridized,1st_lowest_value_NM1_bond_order,2nd_lowest_value_NM1_bond_order,3rd_lowest_value_NM1_bond_order,4th_lowest_value_NM1_bond_order,4th_highest_value_NM1_bond_order,3rd_highest_value_NM1_bond_order,2nd_highest_value_NM1_bond_order,1st_highest_value_NM1_bond_order,bond_length_1st_highest_value,average_NM2_bond_order,standard_deviation_NM2_bond_order,skewness_NM2_bond_order,excess_Kurtosis_NM2_bond_order,NM2_Nbond_with_order_till_1p1_eq_nonhybridized,NM2_Nbond_with_order_till_1p2,NM2_Nbond_with_order_till_1p3,NM2_Nbond_with_order_till_1p4,NM2_Nbond_with_order_till_1p5,NM2_Nbond_with_order_over_1p5,NM2_Nbond_hybridized,NM2_ratio_bonds_with_order_till_1p1_eq_nonhybridized,NM2_ratio_bonds_with_order_till_1p2,NM2_ratio_bonds_with_order_till_1p3,NM2_ratio_bonds_with_order_till_1p4,NM2_ratio_bonds_with_order_till_1p5,NM2_ratio_bonds_with_order_over_1p5,NM2_ratio_bonds_hybridized,1st_lowest_value_NM2_bond_order,2nd_lowest_value_NM2_bond_order,3rd_lowest_value_NM2_bond_order,4th_lowest_value_NM2_bond_order,4th_highest_value_NM2_bond_order,3rd_highest_value_NM2_bond_order,2nd_highest_value_NM2_bond_order,1st_highest_value_NM2_bond_order,average_NM3_bond_order,standard_deviation_NM3_bond_order,skewness_NM3_bond_order,excess_Kurtosis_NM3_bond_order,Nbond_with_order_till_1p1_eq_nonhybridized,NM3_Nbond_with_order_till_1p2,NM3_Nbond_with_order_till_1p3,NM3_Nbond_with_order_till_1p4,NM3_Nbond_with_order_till_1p5,NM3_Nbond_with_order_over_1p5,NM3_Nbond_hybridized,NM3_ratio_bonds_with_order_till_1p1_eq_nonhybridized,NM3_ratio_bonds_with_order_till_1p2,NM3_ratio_bonds_with_order_till_1p3,NM3_ratio_bonds_with_order_till_1p4,NM3_ratio_bonds_with_order_till_1p5,NM3_ratio_bonds_with_order_over_1p5,NM3_ratio_bonds_hybridized,1st_lowest_value_NM3_bond_order,2nd_lowest_value_NM3_bond_order,3rd_lowest_value_NM3_bond_order,4th_lowest_value_NM3_bond_order,4th_highest_value_NM3_bond_order,3rd_highest_value_NM3_bond_order,2nd_highest_value_NM3_bond_order,1st_highest_value_NM3_bond_order
C38-C2-6,C,C2,37.18,-55.99,-93.17,38,1662.7,828.2,-0.3059737662,0.6644916303,1,1,-8.137454594,27.8256,-0.5048,2.1758,0.188378931,0.337826903,0.664951791,0.872463748,1.350117768,1.484734509,0.277004904,0.281168238,1.656870894,1.850405074,2.094798065,2.127658513,5.3084492766,2.9600958098,1.503868421,1.1461794284,0.7406761274,0.6735210867,3.6100443911,3.5565894893,0.6035473274,0.5404222103,0.4773729825,0.4700002345,0.9836914474,0.8576131455,0.9048095936,0.9014139451,9,0.068690956,0.087802612,1.2782266708,253.4399,1577.35,884.7019,136104.2696,0.2022,1.7783,1.4383386,0.03538085,-0.0645373,-0.6423137,1.3725,1.379,1.379,1.3792,1.4911,1.4911,1.5129,1.5129,1.2157052632,0.1042439824,0.6143235518,-0.5303289667,1.0501,1.0501,1.0812,1.0812,1.3988,1.3988,1.4563,1.4563,1.2225526316,0.1169227892,0.5012988285,-0.5418208227,4,24,16,5,8,0,53,0.0701754386,0.4210526316,0.2807017544,0.0877192982,0.1403508772,0,0.9298245614,1.0096,1.0096,1.0785,1.0785,1.4141,1.4141,1.4859,1.4859,1.5129,1.2551087719,0.1200851895,0.4556136349,-0.6100404603,2,22,18,4,9,2,55,0.0350877193,0.3859649123,0.3157894737,0.0701754386,0.1578947368,0.0350877193,0.9649122807,1.0344,1.0344,1.1056,1.1056,1.4485,1.4485,1.519,1.519,1.5129,1.2551052632,0.1201678116,0.4568252682,-0.6119813318,2,22,18,4,9,2,55,0.0350877193,0.3859649123,0.3157894737,0.0701754386,0.1578947368,0.0350877193,0.9649122807,1.0345,1.0345,1.1057,1.1057,1.4485,1.4485,1.5192,1.5192,1.255124561,0.120353748,0.443044089,-0.631358982,2,22,18,4,9,2,55,0.035087719,0.385964912,0.315789474,0.070175439,0.157894737,0.035087719,0.964912281,1.0333,1.0333,1.1042,1.1042,1.446,1.446,1.5175,1.5175
C38-C2v-15,C,C2v,26.7,-15.7,-42.4,38,1012.2,292.4,-0.3158387818,0.5076029301,1,1,-8.30130894,27.9352,-0.4987,2.18,0.142578087,0.341825656,0.617190473,1.544804533,1.687570451,1.746906537,0.249170124,1.198546626,2.141263741,2.202515801,2.326407626,2.54437569,7.0137004994,2.9254679467,1.6202453598,0.6473310886,0.5925678536,0.5724404705,4.0133222392,0.8343438447,0.4670139324,0.4540262547,0.4298472842,0.3930237205,2.2989663845,1.5767258712,1.8464829496,0.6707148214,9,0.072907955,0.091204252,1.2509506267,188.0259,1527.895,880.5845,133692.6591,0.124,1.7391,1.43766667,0.02908027,0.56373347,-0.0646437,1.3905,1.3905,1.3993,1.3993,1.4995,1.4995,1.4995,1.512,1.2097631579,0.0771538805,-0.5463352192,-0.23579839,1.0368,1.0368,1.0368,1.0368,1.2922,1.2922,1.3577,1.3577,1.2160298246,0.0867868572,-0.6245316829,0.0379730569,7,14,30,6,0,0,50,0.1228070175,0.2456140351,0.5263157895,0.1052631579,0,0,0.8771929825,1.0198,1.0198,1.0198,1.0198,1.3178,1.3178,1.3841,1.3841,1.512,1.2494578947,0.0903847448,-0.6584225964,0.0980495944,5,10,22,18,2,0,52,0.0877192982,0.1754385965,0.3859649123,0.3157894737,0.0350877193,0,0.9122807018,1.0428,1.0428,1.0428,1.0428,1.351,1.351,1.425,1.425,1.512,1.2496807018,0.0901412526,-0.6670183468,0.1257099179,5,10,18,22,2,0,52,0.0877192982,0.1754385965,0.3157894737,0.3859649123,0.0350877193,0,0.9122807018,1.0432,1.0432,1.0432,1.0432,1.3521,1.3521,1.4246,1.4246,1.249535088,0.092018691,-0.682851849,0.243960213,5,10,22,18,2,0,52,0.087719298,0.175438596,0.385964912,0.315789474,0.035087719,0,0.912280702,1.0338,1.0338,1.0338,1.0338,1.3485,1.3485,1.4304,1.4304
C40-C1-34,C,C1,42.1,-19.3,-61.4,40,1441,535.9,-0.33417017,0.446538179,1,1,-8.16993011,27.6983,-0.5017,2.1641,0.115833943,0.393930351,0.594417524,1.129548626,1.533541378,1.581694824,0.447901284,0.891218963,2.03800303,2.123404756,2.221537971,2.375831883,8.6330480868,2.5385198106,1.6823191774,0.8853093855,0.6520854372,0.6322332126,2.2326348142,1.1220587101,0.4906764049,0.4709417727,0.4501386036,0.4209052026,1.5343684501,1.0754650017,1.0164654349,0.7007124325,10,0.076356765,0.09327604,1.2215818729,259.4226,1627.14,885.5214,139575.8036,0.2469,1.8585,1.43794167,0.03825453,-0.2962893,-0.5695665,1.3504,1.3602,1.3634,1.3654,1.4938,1.4966,1.4995,1.5144,1.2192383333,0.1137990028,0.4772227271,-0.4654253497,1.0321,1.0444,1.0582,1.0605,1.4267,1.4541,1.4574,1.5068,1.2251733333,0.1262774879,0.3583275034,-0.404666066,9,22,13,9,6,1,51,0.15,0.3666666667,0.2166666667,0.15,0.1,0.0166666667,0.85,1.0129,1.0136,1.0242,1.0257,1.4644,1.4822,1.4848,1.5362,1.5144,1.2586983333,0.1298471364,0.3165733551,-0.4505651106,7,10,19,15,5,4,53,0.1166666667,0.1666666667,0.3166666667,0.25,0.0833333333,0.0666666667,0.8833333333,1.0371,1.0402,1.0495,1.0521,1.5012,1.5211,1.5212,1.5741,1.5144,1.2587933333,0.1298250475,0.3163373404,-0.449520855,7,10,19,15,5,4,53,0.1166666667,0.1666666667,0.3166666667,0.25,0.0833333333,0.0666666667,0.8833333333,1.0364,1.0402,1.0493,1.0522,1.5011,1.5212,1.5214,1.5738,1.258733333,0.130046408,0.268041917,-0.50998073,7,11,18,15,6,3,53,0.116666667,0.183333333,0.3,0.25,0.1,0.05,0.883333333,1.0304,1.0418,1.0462,1.05,1.4969,1.5167,1.5214,1.568
C40-D2-38,D,D2,55.7,-59.9,-115.6,40,1859.2,842.7,-0.4318447833,0.6345471188,1,1,-8.046045772,27.4823,-0.5025,2.1502,0.085200695,0.202059603,0.258468777,1.5035794,1.632802088,1.655601542,0.213433493,0.425212152,2.054520716,2.135356466,2.191887913,2.272712694,11.73699346,4.9490347657,3.8689392646,0.6650796094,0.6124440968,0.604010068,4.6853002588,2.3517672185,0.4867315244,0.4683058852,0.4562277086,0.4400028225,1.0777015314,0.9571579884,0.946850002,0.7886981747,10,0.077779845,0.093668212,1.204273575,276.1247,1579.489,888.866,142601.4381,0.3003,1.8648,1.43734,0.041749,-0.2410155,-1.068132,1.3626,1.3626,1.3626,1.3626,1.4976,1.4976,1.4976,1.4976,1.2272533333,0.1400756575,0.5300586116,-1.0638208811,1.0615,1.0615,1.0615,1.0615,1.4927,1.4927,1.4927,1.4927,1.2314133333,0.1530209348,0.4521918759,-1.0570446553,14,20,8,6,8,4,46,0.2333333333,0.3333333333,0.1333333333,0.1,0.1333333333,0.0666666667,0.7666666667,1.0358,1.0358,1.0358,1.0358,1.5174,1.5174,1.5174,1.5174,1.4976,1.2656933333,0.1572233654,0.4214368993,-1.0894961563,10,16,8,14,4,8,50,0.1666666667,0.2666666667,0.1333333333,0.2333333333,0.0666666667,0.1333333333,0.8333333333,1.0631,1.0631,1.0631,1.0631,1.5547,1.5547,1.5547,1.5547,1.4976,1.2656766667,0.1571960277,0.4209188803,-1.0898685637,10,16,8,14,4,8,50,0.1666666667,0.2666666667,0.1333333333,0.2333333333,0.0666666667,0.1333333333,0.8333333333,1.063,1.063,1.063,1.063,1.5545,1.5545,1.5545,1.5545,1.265706667,0.15716201,0.39699168,-1.116241844,10,16,8,14,4,8,50,0.166666667,0.266666667,0.133333333,0.233333333,0.066666667,0.133333333,0.833333333,1.061,1.061,1.061,1.061,1.5506,1.5506,1.5506,1.5506
C40-D5d-39,D,D5d,24.1,-7.2,-31.3,40,1983.4,961.1,-0.3145351314,0.3439556964,2,2,-7.944152646,27.5667,-0.5022,2.1521,0,0.190944021,0.193309926,1.285671852,1.373903578,1.376141281,0,0.992024545,1.737255111,1.873488161,2.084279617,2.088654749,0,5.2371370141,5.1730401056,0.7778034484,0.7278531158,0.7266695751,0,1.0080395743,0.5756206982,0.5337637146,0.4797820752,0.4787770695,1.0372724069,0.8680223861,1.0393246136,0.5120001193,10,0.078207813,0.093560159,1.1963019475,259.6701,1595.419,892.9942,141246.3154,0.2948,1.9051,1.43758,0.04193954,-0.6377455,-0.9280058,1.3636,1.3636,1.3636,1.3636,1.4876,1.4876,1.4876,1.4876,1.2265166667,0.1428905259,0.6699162575,-1.4131805003,1.0851,1.0851,1.0851,1.0851,1.449,1.449,1.4491,1.4491,1.23118,0.1556663278,0.6017879615,-1.363628665,10,30,0,0,20,0,50,0.1666666667,0.5,0,0,0.3333333333,0,0.8333333333,1.0566,1.0566,1.0567,1.0567,1.4751,1.4751,1.4752,1.4752,1.4876,1.2652633333,0.1599834939,0.589848939,-1.3744685368,10,30,0,0,10,10,50,0.1666666667,0.5,0,0,0.1666666667,0.1666666667,0.8333333333,1.0844,1.0844,1.0845,1.0845,1.5139,1.5139,1.514,1.514,1.4876,1.2652466667,0.1600077743,0.5897406606,-1.3747627932,10,30,0,0,10,10,50,0.1666666667,0.5,0,0,0.1666666667,0.1666666667,0.8333333333,1.0843,1.0843,1.0845,1.0845,1.5139,1.5139,1.514,1.514,1.265266667,0.160029479,0.583834042,-1.379312161,10,30,0,0,10,10,50,0.166666667,0.5,0,0,0.166666667,0.166666667,0.833333333,1.0837,1.0837,1.0839,1.0839,1.513,1.513,1.5131,1.5131
C40-Td-40,T,Td,23.9,-9.2,-33.1,40,1352,417.3,-0.2851559531,0.3151769919,1,2,-8.233535336,27.5666,-0.5033,2.1638,0.301855558,0.302505907,0.338067565,1.695240723,1.858877676,1.860499718,0,1.27780354,1.429690284,2.274631457,2.453901414,2.779420264,3.3128427604,3.3057205723,2.9579885902,0.5898867261,0.5379590131,0.5374900035,0,0.7825929172,0.6994521899,0.4396316585,0.4075143338,0.3597872596,1.3905197407,1.3892633976,2.3838013073,0.589934465,10,0.075501379,0.093157898,1.2338569074,276.5687,1573.435,878.7803,143224.3882,0.2532,1.8023,1.43849667,0.04308227,-0.1522992,-1.1267032,1.3653,1.3653,1.3654,1.3654,1.4997,1.4998,1.4998,1.5,1.2237733333,0.145874375,0.4865286015,-0.9761765069,1.0724,1.0725,1.0728,1.0729,1.5059,1.5061,1.5061,1.5063,1.2289833333,0.1584567061,0.4970990956,-0.9568986847,28,0,16,8,4,4,32,0.4666666667,0,0.2666666667,0.1333333333,0.0666666667,0.0666666667,0.5333333333,1.0641,1.0643,1.0643,1.0644,1.5448,1.5449,1.545,1.545,1.5,1.2624766667,0.1627266987,0.4709368082,-1.0065496203,12,16,0,24,0,8,48,0.2,0.2666666667,0,0.4,0,0.1333333333,0.8,1.0938,1.094,1.094,1.0941,1.5841,1.5841,1.5841,1.5842,1.5,1.26254,0.162750863,0.4718589252,-1.0055512159,12,16,0,24,0,8,48,0.2,0.2666666667,0,0.4,0,0.1333333333,0.8,1.0938,1.094,1.094,1.0941,1.5839,1.5839,1.5839,1.584,1.26248,0.16266097,0.440878107,-1.059334284,12,16,0,24,0,8,48,0.2,0.266666667,0,0.4,0,0.133333333,0.8,1.093,1.0932,1.0933,1.0933,1.5794,1.5795,1.5795,1.5796
C42-C1-44,C,C1,18.8,-2.8,-21.6,42,1197.5,331.8,-0.2924575327,0.388276358,1,1,-8.168042055,27.5518,-0.4983,2.1549,0.217210701,0.353207329,0.485248063,0.695336924,1.646073642,1.744382458,0.597142311,1.039694293,2.197085928,2.308932296,2.476717879,2.770863586,4.6038247443,2.83119833,2.0608016317,1.4381517297,0.6075062345,0.573268778,1.6746426799,0.961821188,0.4551483341,0.4331006161,0.4037601571,0.3608983153,1.8214581213,1.4598383954,1.0764931128,0.7291317252,11,0.084014022,0.09872572,1.175110031,255.962,1594.71,885.0467,142331.8169,0.2266,1.8075,1.43665556,0.0372954,-0.1968843,-1.011362,1.3649,1.366,1.3675,1.3676,1.4907,1.4931,1.4949,1.5019,1.2224126984,0.1163029289,0.4375270907,-0.9245590856,1.0549,1.0624,1.0661,1.0688,1.4219,1.4401,1.446,1.4821,1.2264634921,0.1282521899,0.3310189921,-0.9007015835,11,20,12,12,7,1,52,0.1746031746,0.3174603175,0.1904761905,0.1904761905,0.1111111111,0.0158730159,0.8253968254,1.0302,1.0318,1.0333,1.0388,1.4425,1.4566,1.4645,1.5073,1.5019,1.2610984127,0.1319760013,0.289341255,-0.9402005754,10,13,17,10,11,2,53,0.1587301587,0.2063492063,0.2698412698,0.1587301587,0.1746031746,0.0317460317,0.8412698413,1.0582,1.0584,1.0613,1.0644,1.4771,1.4958,1.5054,1.5428,1.5019,1.2610984127,0.1319221806,0.2881732758,-0.9413360355,10,13,17,10,11,2,53,0.1587301587,0.2063492063,0.2698412698,0.1587301587,0.1746031746,0.0317460317,0.8412698413,1.0582,1.0585,1.0613,1.0643,1.4771,1.4957,1.5056,1.5423,1.26111746,0.132152719,0.243257513,-0.974254613,10,12,18,10,11,2,53,0.158730159,0.19047619,0.285714286,0.158730159,0.174603175,0.031746032,0.841269841,1.0567,1.0588,1.0593,1.0598,1.4763,1.4937,1.5046,1.536
C42-C2-41,C,C2,23.5,0.8,-22.7,42,1012.1,210.7,-0.3032972328,0.3645344622,1,1,-8.215612665,27.602,-0.497,2.1588,0.147850742,0.444180699,0.597083595,0.849006659,1.355730887,1.664297768,0.761243593,1.056538758,2.337332443,2.476959885,2.623204744,2.690283124,6.763577825,2.2513360041,1.6748073609,1.1778470633,0.7376095135,0.6008540174,1.313639956,0.9464868112,0.427838155,0.4037207086,0.3812130953,0.3717080894,2.7890055238,1.5269956826,1.0288662914,0.7891172786,11,0.084499083,0.098713049,1.1682144409,233.8647,1574.49,885.0349,141008.5067,0.1855,1.7612,1.43616667,0.03357256,-0.143588,-0.815853,1.3606,1.3606,1.3784,1.3784,1.4886,1.4886,1.4889,1.4889,1.2204269841,0.1101973312,0.4649680532,-0.5077747057,1.0547,1.0547,1.0566,1.0566,1.4077,1.4077,1.4961,1.4961,1.2245238095,0.1203060947,0.3453798972,-0.483228181,8,20,21,10,2,2,55,0.126984127,0.3174603175,0.3333333333,0.1587301587,0.0317460317,0.0317460317,0.873015873,1.0219,1.0219,1.0431,1.0431,1.4325,1.4325,1.5192,1.5192,1.4889,1.2590460317,0.123961585,0.281615421,-0.5452906842,6,18,12,17,8,2,57,0.0952380952,0.2857142857,0.1904761905,0.2698412698,0.126984127,0.0317460317,0.9047619048,1.0483,1.0483,1.0665,1.0665,1.4685,1.4685,1.5577,1.5577,1.4889,1.2589793651,0.1239618364,0.2797756266,-0.5457840531,6,18,12,17,8,2,57,0.0952380952,0.2857142857,0.1904761905,0.2698412698,0.126984127,0.0317460317,0.9047619048,1.048,1.048,1.0662,1.0662,1.4683,1.4683,1.5574,1.5574,1.25908254,0.124233241,0.212243147,-0.610109567,6,18,12,15,10,2,57,0.095238095,0.285714286,0.19047619,0.238095238,0.158730159,0.031746032,0.904761905,1.0443,1.0443,1.0619,1.0619,1.4632,1.4632,1.5519,1.5519
C42-Cs-42,C,Cs,-3.7,7.1,10.8,42,1074.1,249.4,-0.2656061346,0.3675897577,1,1,-8.210408654,27.6241,-0.4986,2.1583,0.28714351,0.37362718,0.750682122,0.887399031,1.565989224,1.655321925,0.90742624,1.0092624,2.204082071,2.242242832,2.442104708,2.634802168,3.4825791466,2.6764648118,1.3321217739,1.1268887671,0.6385739983,0.6041120974,1.1020179447,0.9908226047,0.4537036135,0.4459820256,0.4094828517,0.3795351363,1.8637817462,1.6050664114,0.8644340571,0.7944942186,11,0.083545745,0.098410688,1.1779257938,153.7786,1639.14,880.4391,144608.1654,0.2717,1.9521,1.43792698,0.04010931,-0.3413036,-0.7583445,1.3574,1.3574,1.3585,1.3688,1.4994,1.4994,1.5018,1.5018,1.2191063492,0.1049304757,0.3643973072,-0.8621144587,1.0533,1.0533,1.0567,1.0567,1.3939,1.428,1.428,1.445,1.2243746032,0.1188758189,0.237213708,-0.8588833502,9,20,14,15,5,0,54,0.1428571429,0.3174603175,0.2222222222,0.2380952381,0.0793650794,0,0.8571428571,1.0262,1.0262,1.0407,1.0531,1.4201,1.4555,1.4555,1.4749,1.5018,1.2584126984,0.1224398181,0.2191920573,-0.8825762671,9,14,16,15,8,1,54,0.1428571429,0.2222222222,0.253968254,0.2380952381,0.126984127,0.0158730159,0.8571428571,1.0526,1.0526,1.0745,1.0799,1.4573,1.4958,1.4958,1.513,1.5018,1.2585952381,0.1224330999,0.2160809819,-0.8808222982,9,14,16,15,8,1,54,0.1428571429,0.2222222222,0.253968254,0.2380952381,0.126984127,0.0158730159,0.8571428571,1.0524,1.0524,1.074,1.0793,1.4573,1.4958,1.4958,1.5129,1.258447619,0.122865541,0.188644002,-0.905511743,9,12,18,15,8,1,54,0.142857143,0.19047619,0.285714286,0.238095238,0.126984127,0.015873016,0.857142857,1.0499,1.0499,1.0733,1.0733,1.456,1.4944,1.4944,1.5104
C42-D3-45,D,D3,33.7,-36.9,-70.6,42,1854.3,859.9,-0.3141522557,0.4647019952,2,1,-7.923658178,27.4354,-0.5011,2.1465,0,0.227529656,0.230203661,0.318445389,1.407006692,1.732257061,0.533271198,0.533584019,1.943561298,1.945942643,2.489175705,2.493317216,0,4.3950314767,4.3439795686,3.1402558635,0.7107286736,0.5772815262,1.87521847,1.8741190973,0.5145194036,0.5138897611,0.4017394184,0.4010721113,1.1580611369,0.9195997134,0.7177868746,0.7176257398,11,0.085012639,0.098938787,1.1638126773,282.3021,1562.916,892.6145,142447.5547,0.2454,1.7974,1.4358127,0.03711103,-0.1873677,-0.9660941,1.3687,1.3688,1.3689,1.3689,1.4888,1.4894,1.4895,1.4896,1.2266285714,0.127630004,0.548503956,-0.933144214,1.064,1.0641,1.0642,1.0681,1.4672,1.4673,1.4675,1.4676,1.2297825397,0.1382858444,0.4460917927,-0.9341780244,9,24,12,6,12,0,54,0.1428571429,0.380952381,0.1904761905,0.0952380952,0.1904761905,0,0.8571428571,1.0327,1.0328,1.0328,1.0503,1.4865,1.4866,1.4869,1.4869,1.4896,1.2648349206,0.1422323699,0.4129388609,-0.9564947511,9,24,0,18,6,6,54,0.1428571429,0.380952381,0,0.2857142857,0.0952380952,0.0952380952,0.8571428571,1.0598,1.0599,1.0599,1.0769,1.5252,1.5253,1.5255,1.5256,1.4896,1.2648222222,0.1422180948,0.412345131,-0.9567456205,9,24,1,17,6,6,54,0.1428571429,0.380952381,0.0158730159,0.2698412698,0.0952380952,0.0952380952,0.8571428571,1.0598,1.0599,1.0599,1.0768,1.5251,1.5251,1.5254,1.5254,1.26484127,0.142219135,0.381212368,-0.990282734,9,24,0,18,6,6,54,0.142857143,0.380952381,0,0.285714286,0.095238095,0.095238095,0.857142857,1.0591,1.0592,1.0592,1.0738,1.521,1.521,1.5213,1.5213
C44-C1-88,C,C1 ,28,-15.2,-43.2,44,1317.4,498,-0.3042865151,0.4552272514,1,1,-8.099229047,27.4806,-0.4971,2.15,0.215877117,0.351777204,0.410822561,0.576665513,0.840752885,1.637121852,0.352382918,1.10400753,1.831172035,2.31209942,2.417685876,2.635975213,4.632264938,2.8427083638,2.434140904,1.7341075155,1.1894101321,0.6108280815,2.8378220082,0.9057909234,0.5460983353,0.432507353,0.4136186632,0.379366238,1.4008013091,1.1767790372,1.1759408366,0.6242167913,12,0.091222605,0.10401208,1.1402007211,262.4615,1559.549,890.1668,141231.5601,0.1821,1.7312,1.43488333,0.03145699,0.00909901,-0.9804553,1.3725,1.3862,1.3869,1.3891,1.4871,1.4909,1.492,1.4967,1.2214939394,0.096216095,0.2982308113,-0.5385135714,1.0395,1.058,1.0591,1.0738,1.3657,1.3921,1.4132,1.4737,1.2243590909,0.1061138725,0.1966615335,-0.5965363866,9,23,15,16,3,0,57,0.1363636364,0.3484848485,0.2272727273,0.2424242424,0.0454545455,0,0.8636363636,1.0164,1.0338,1.0379,1.0551,1.3778,1.4098,1.4317,1.4935,1.4967,1.2598545455,0.1095246301,0.1532327653,-0.5875915474,5,16,22,16,6,1,61,0.0757575758,0.2424242424,0.3333333333,0.2424242424,0.0909090909,0.0151515152,0.9242424242,1.0394,1.058,1.0622,1.0837,1.4144,1.4527,1.4671,1.5361,1.4967,1.2598772727,0.1096121286,0.1505941012,-0.5824349599,5,16,22,16,6,1,61,0.0757575758,0.2424242424,0.3333333333,0.2424242424,0.0909090909,0.0151515152,0.9242424242,1.0381,1.0574,1.0615,1.0838,1.4148,1.4528,1.4677,1.5361,1.259898485,0.109933301,0.103429449,-0.557204103,5,16,21,19,4,1,61,0.075757576,0.242424242,0.318181818,0.287878788,0.060606061,0.015151515,0.924242424,1.0306,1.0524,1.0562,1.0823,1.4133,1.4546,1.4617,1.536
